input,target
116.24,3599.9199999999996
93.88,2755.1499999999996
94.72,2912.18
89.27,2336.1749999999997
108.65,3173.8050000000003
76.98,2447.2200000000003
117.45,3555.645
92.39,2504.385
103.19,2942.775
97.51,3114.235
114.62,3245.2100000000005
79.4,2445.09
96.78,2691.31
96.16,3081.62
111.34,3488.94
89.0,2867.8
98.28,2961.05
91.22,2853.86
100.42,3109.9
105.83,3047.5950000000003
88.99,2743.4449999999997
111.45,3312.605
109.02,3157.43
105.02,3047.7699999999995
109.01,3509.0150000000003
93.16,2982.9100000000003
98.77,2974.4249999999997
90.64,2473.59
97.32,3073.56
105.3,3403.67
93.08,2952.0
96.03,2909.305
93.13,2645.6349999999998
91.55,2797.255
93.29,2728.5550000000003
99.87,2945.3350000000005
88.83,2715.515
102.34,3043.79
116.6,3585.0299999999997
107.42,3433.42
98.08,2783.85
91.12,2837.05
92.53,2901.845
116.92,3540.5299999999997
100.51,2777.2050000000004
93.63,2742.075
101.91,3468.205
121.0,3816.88
101.2,2924.7799999999997
106.17,3198.375
103.0,3093.88
96.48,2974.9900000000002
88.57,2764.615
96.51,3081.485
97.91,3023.185
105.87,3115.3950000000004
108.39,3458.4049999999997
109.31,3235.795
102.86,3237.47
108.85,3610.165
92.46,2858.4599999999996
112.53,3199.765
105.13,3317.4549999999995
97.02,3036.37
104.89,3058.245
99.24,3138.8399999999997
111.32,3421.89
115.2,3369.96
121.86,3760.78
86.04,2616.92
85.56,2351.87
94.96,2947.7599999999998
101.6,2877.79
108.76,3405.78
103.16,2949.11
79.78,2521.8
96.94,2991.61
108.28,3095.69
102.3,3206.75
107.62,3456.7100000000005
97.78,2764.3
97.99,2864.0049999999997
101.87,2952.4950000000003
104.1,3134.83
101.98,3333.7900000000004
101.19,3091.875
93.29,3059.635
103.78,3140.8
101.22,3282.45
111.29,3306.9350000000004
111.99,3360.4849999999997
101.85,2863.415
96.25,3060.645
93.61,2834.595
104.23,3112.135
100.77,2922.4149999999995
96.56,3040.23
100.44,3117.29
93.8,2717.54
106.98,3474.9000000000005
95.53,2918.845
112.25,3403.105
104.03,3454.675
105.94,3224.09
89.05,2705.665
101.69,3062.665
107.41,3617.965
90.46,3099.49
97.34,3135.0
100.33,3051.5950000000003
86.27,2551.805
103.15,3228.1650000000004
108.46,3332.8199999999997
91.4,2568.65
103.51,3348.6250000000005
86.88,2593.41
99.61,3155.425
83.84,2559.33
111.21,3400.9849999999997
104.09,2993.2349999999997
99.75,2930.365
92.25,2735.575
112.74,3455.2699999999995
119.67,3720.6749999999997
81.42,2460.0
112.36,3332.67
116.28,3724.5099999999998
103.38,3171.7099999999996
88.01,2775.6650000000004
108.63,3389.305
98.19,2882.905
93.96,2789.95
87.7,2823.19
105.51,3531.4150000000004
107.93,3382.855
93.76,2778.42
105.21,3413.185
88.56,2474.7799999999997
108.02,3188.5599999999995
100.47,3274.995
98.13,2949.015
98.98,3265.9600000000005
108.69,3077.545
107.5,3200.19
105.29,3281.4550000000004
101.38,3141.0499999999997
100.78,3135.5
106.18,3253.6200000000003
102.32,3046.7599999999998
106.83,3427.445
96.9,2875.8700000000003
75.65,2138.925
110.39,3370.295
121.87,3351.295
104.41,3329.155
99.0,3113.17
98.64,3017.52
98.81,2930.325
100.17,2803.935
88.78,2469.12
94.83,3014.265
90.03,2780.675
102.49,3202.6949999999997
97.03,2957.965
104.95,3266.545
98.25,2777.395
109.86,3467.28
102.14,3189.4
121.91,3871.955
81.04,2508.59
93.53,2720.425
109.01,3415.9550000000004
125.28,3664.07
97.51,3142.545
100.44,3131.06
97.74,2901.9999999999995
113.31,3531.775
97.13,3221.365
106.8,3129.66
96.8,3226.86
87.27,2696.4049999999997
103.14,3331.57
105.03,3267.245
112.93,3536.5550000000003
98.9,3306.17
93.83,2909.935
105.63,3219.3849999999998
102.41,3171.7650000000003
102.81,3320.055
99.27,3015.6349999999998
111.6,3285.3799999999997
103.69,3148.745
119.05,3737.175
111.11,3406.805
106.59,3333.1349999999998
83.73,2460.8550000000005
106.02,3457.6699999999996
104.2,3256.06
108.11,3375.635
110.44,3393.0
95.99,3039.7549999999997
108.24,3308.9799999999996
94.38,2876.9599999999996
119.55,3785.135
86.68,2618.4
82.39,2524.445
83.49,2358.535
91.09,2762.615
88.81,2542.085
119.56,3525.79
96.74,2870.12
86.57,2946.1449999999995
111.14,3576.33
94.13,2939.575
87.63,2738.4649999999997
108.76,3515.1400000000003
106.23,2948.6650000000004
95.65,2751.425
114.08,3490.61
101.29,2993.275
116.17,3368.455
105.03,3160.1549999999997
115.59,3638.9449999999997
101.09,3246.015
87.8,2687.42
124.49,3860.4449999999997
94.54,2995.65
98.01,2621.2650000000003
93.0,2952.57
97.97,2696.585
102.43,3192.195
102.02,3212.8999999999996
106.61,3361.295
117.92,3528.86
98.8,3122.35
87.67,2781.755
88.18,2854.05
93.34,2632.41
83.26,2434.76
108.25,3371.615
95.02,2885.5899999999997
96.89,3078.405
99.98,3140.09
86.03,2675.005
91.39,2874.215
106.75,3302.525
106.19,3127.355
95.57,3014.395
118.11,3526.565
86.94,2904.2400000000002
96.55,3124.695
97.69,2896.165
72.07,2241.6949999999997
119.38,3446.99
103.66,3195.6400000000003
89.55,2984.495
120.51,3723.5750000000003
105.86,3390.15
104.3,3384.82
93.93,2905.4150000000004
101.06,3269.92
84.74,2572.91
107.95,3346.115
96.26,2728.11
101.34,3000.45
112.02,3382.95
102.85,3239.1449999999995
102.62,2982.6200000000003
102.76,3177.61
92.67,2606.485
108.36,3265.16
115.43,3435.6250000000005
107.59,3540.125
108.85,3225.075
91.23,2778.7050000000004
91.32,2938.9399999999996
85.59,2522.355
112.32,3509.83
97.46,2974.56
114.0,3358.67
92.18,2715.51
95.62,3048.9900000000002
100.95,3008.4449999999997
109.21,3463.9449999999997
100.61,3092.6150000000002
102.11,3006.0950000000003
100.17,3063.945
101.77,3441.1649999999995
88.84,2739.12
100.81,2976.575
98.13,3062.1349999999998
99.43,2994.3750000000005
104.92,3010.79
93.19,2917.8050000000003
99.15,2894.4550000000004
97.03,3164.925
104.17,3364.625
107.85,3410.7149999999997
90.45,2782.095
105.86,3118.07
120.66,3743.25
85.29,2507.0150000000003
91.7,2977.46
91.19,2594.795
97.21,3202.665
116.23,3548.8150000000005
100.13,2970.1349999999998
93.05,2686.035
106.22,3344.9
94.0,2950.58
111.23,3523.385
103.05,3146.8250000000003
113.89,3406.005
93.39,2883.865
130.31,3811.935
108.25,3296.285
106.55,3143.905
99.49,3246.4249999999997
92.74,2918.22
91.32,2744.54
98.64,2950.75
92.03,2984.985
102.83,3061.045
91.74,2797.1699999999996
106.21,3344.035
109.56,3246.39
92.94,3044.17
111.93,3472.635
97.62,3234.4100000000003
111.55,3423.295
104.38,3621.6899999999996
111.22,3473.13
90.03,2794.005
98.93,2837.8650000000002
114.51,3551.635
93.82,2673.68
79.63,2405.4549999999995
80.57,2427.9849999999997
